央卫,#genre#
浙江卫视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.206:5140$四川组播
东方卫视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.207:5140$四川组播
山东卫视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.208:5140$四川组播
CCTV4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.184:5140$四川组播
欢笑剧场4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.201:5140$四川组播
地方,#genre#
CDTV-1,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.144:5140$四川组播
CDTV-5,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.161:5140$四川组播
CDTV-2,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.162:5140$四川组播
CDTV-3,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.163:5140$四川组播
CDTV-4,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.164:5140$四川组播
CDTV-6,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.165:5140$四川组播
CDTV-8,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.160:5140$四川组播
自贡综合,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.123:5140$四川组播
自贡文化生活,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.97:5140$四川组播
攀枝花新闻综合,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.124:5140$四川组播
泸州新闻,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.125:5140$四川组播
泸州科教生活,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.86:5140$四川组播
德阳公共,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.138:5140$四川组播
德阳新闻综合,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.82:5140$四川组播
绵阳综合,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.121:5140$四川组播
绵阳科教生活,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.88:5140$四川组播
广元综合,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.126:5140$四川组播
广元文化生活,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.84:5140$四川组播
遂宁新闻综合,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.127:5140$四川组播
遂宁文化生活,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.92:5140$四川组播
内江综合,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.128:5140$四川组播
内江科教生活,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.90:5140$四川组播
乐山新闻综合,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.129:5140$四川组播
乐山文旅生活,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.85:5140$四川组播
南充综合,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.176:5140$四川组播
南充科教生活,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.89:5140$四川组播
眉山综合,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.130:5140$四川组播
眉山文旅乡村,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.87:5140$四川组播
宜宾新闻综合,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.131:5140$四川组播
宜宾科教文旅,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.94:5140$四川组播
广安新闻综合,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.132:5140$四川组播
广安文旅乡村,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.83:5140$四川组播
达州新闻综合,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.133:5140$四川组播
达州文化生活,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.81:5140$四川组播
雅安新闻综合,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.140:5140$四川组播
雅安文化生活,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.93:5140$四川组播
巴中综合,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.139:5140$四川组播
巴中文旅生活,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.80:5140$四川组播
资阳新闻综合,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.134:5140$四川组播
阿坝新闻综合,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.141:5140$四川组播
阿坝藏语图文,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.142:5140$四川组播
甘孜综合,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.135:5140$四川组播
凉山新闻综合,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.136:5140$四川组播
凉山彝语综合,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.137:5140$四川组播
峨眉电影,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.9:5140$四川组播

CCTV1,http://39.165.39.49:19901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
CCTV2,http://39.165.39.49:19901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
CCTV3,http://39.165.39.49:19901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
CCTV4,http://39.165.39.49:19901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
CCTV5,http://39.165.39.49:19901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
CCTV5+,http://39.165.39.49:19901/tsfile/live/1089_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
CCTV6,http://39.165.39.49:19901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
CCTV7,http://39.165.39.49:19901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
CCTV8,http://39.165.39.49:19901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
CCTV9,http://39.165.39.49:19901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
CCTV10,http://39.165.39.49:19901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
CCTV11,http://39.165.39.49:19901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
CCTV12,http://39.165.39.49:19901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
CCTV13,http://39.165.39.49:19901/tsfile/live/1084_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
CCTV14,http://39.165.39.49:19901/tsfile/live/1085_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
CCTV15,http://39.165.39.49:19901/tsfile/live/1086_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
CCTV17,http://39.165.39.49:19901/tsfile/live/1088_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
河南卫视,http://39.165.39.49:19901/tsfile/live/1105_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
湖南卫视,http://39.165.39.49:19901/tsfile/live/1140_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
浙江卫视,http://39.165.39.49:19901/tsfile/live/1127_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
东方卫视,http://39.165.39.49:19901/tsfile/live/1128_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
江苏卫视,http://39.165.39.49:19901/tsfile/live/1129_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
北京卫视,http://39.165.39.49:19901/tsfile/live/1130_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
广东卫视,http://39.165.39.49:19901/tsfile/live/1131_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
山东卫视,http://39.165.39.49:19901/tsfile/live/1133_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
安徽卫视,http://39.165.39.49:19901/tsfile/live/1134_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
深圳卫视,http://39.165.39.49:19901/tsfile/live/1141_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
湖北卫视,http://39.165.39.49:19901/tsfile/live/1143_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
东南卫视,http://39.165.39.49:19901/tsfile/live/1149_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
